n1-Pc0.9-Pm0.01,n2-Pc0.9-Pm0.01,n4-Pc0.9-Pm0.01,n8-Pc0.9-Pm0.01,n16-Pc0.9-Pm0.01,n32-Pc0.9-Pm0.01
2480.05,2411.26,2269.01,2186.55,2148.5,2006.63
2357.95,2213.48,2009.7,1726.35,1671.49,1516.67
2214.58,1954.56,1708.93,1426.34,1327.56,1195.4
2043.8,1682.84,1475.95,1155.34,1094.07,967.702
1858.31,1512.09,1252.16,983.5060000000001,938.0989999999999,816.133
1685.8,1353.82,1060.99,796.5980000000001,803.4580000000001,740.177
1539.02,1195.33,904.0169999999999,697.388,707.367,652.711
1385.8,1031.2,803.625,609.863,631.201,610.5930000000001
1220.02,894.928,686.5269999999999,535.116,579.59,568.831
1126.03,788.6080000000001,612.279,484.181,544.658,543.672
1033.36,710.238,539.129,448.153,526.752,525.789
940.797,630.318,487.93699999999995,408.54400000000004,508.115,513.876
833.954,563.036,438.713,384.67,491.95099999999996,500.68300000000005
740.992,503.135,399.97,366.333,480.394,491.205
693.143,456.733,368.866,352.935,473.18199999999996,486.26599999999996
614.56,398.849,347.384,343.37800000000004,465.44199999999995,482.58099999999996
568.619,375.255,321.507,334.621,459.099,478.97
514.383,345.51,305.506,326.823,454.69699999999995,475.809
468.041,319.907,291.426,320.784,449.67900000000003,473.455
436.619,299.324,278.54200000000003,316.373,445.796,472.389
392.51599999999996,273.605,270.35,308.189,443.24699999999996,471.416
351.962,260.134,259.769,305.562,441.731,470.225
336.726,246.132,253.613,300.411,437.281,469.126
311.83799999999997,234.44,247.98,298.26599999999996,434.217,465.222
285.493,223.454,243.888,296.573,433.398,461.164
261.71299999999997,211.141,240.115,295.759,431.69599999999997,460.2
239.115,198.128,237.032,294.828,430.79,454.292
225.18400000000003,191.11,233.671,294.448,429.184,448.844
216.43099999999998,187.08599999999998,232.33,293.95599999999996,428.384,445.945
206.157,180.588,229.09599999999998,293.599,425.343,444.652
190.96599999999998,172.658,226.713,290.468,424.58,444.339
185.41299999999998,168.69099999999997,225.71,290.237,420.99199999999996,444.3
173.472,164.46,224.74,290.061,420.971,444.291
167.345,159.559,223.695,289.938,420.833,441.702
159.547,156.52,222.514,289.767,420.75199999999995,441.63300000000004
154.42600000000002,154.07399999999998,221.905,286.839,420.68199999999996,439.909
147.215,151.671,221.37,286.782,419.35699999999997,438.981
139.764,150.495,220.799,286.623,419.353,438.976
131.33,148.71200000000002,220.53900000000002,286.51599999999996,418.48199999999997,436.941
120.288,145.15200000000002,220.317,286.5,417.579,434.185
118.90100000000001,143.565,220.03099999999998,286.45599999999996,417.36300000000006,433.977
116.723,142.738,219.84099999999998,286.433,417.13800000000003,432.925
113.81299999999999,141.599,219.62900000000002,286.351,416.87,427.884
111.54299999999999,140.741,219.54,285.675,416.866,426.649
108.541,138.17700000000002,219.387,285.66200000000003,416.82599999999996,426.57800000000003
105.287,137.255,219.31400000000002,285.65,416.81,426.57800000000003
102.742,136.825,219.18900000000002,284.882,415.92699999999996,426.57800000000003
100.845,136.244,219.157,284.878,415.92699999999996,426.574
98.6367,135.768,216.171,284.874,415.911,426.57300000000004
97.7344,134.627,216.158,284.866,415.911,426.57300000000004
96.7251,134.187,216.125,284.858,415.907,426.57300000000004
94.4729,133.89700000000002,216.054,284.85400000000004,415.899,426.57300000000004
93.2566,133.66,216.02900000000002,284.83299999999997,415.898,426.533
92.4502,133.336,215.99099999999999,284.83299999999997,415.898,426.48199999999997
91.3626,132.828,215.956,284.832,415.898,423.876
90.8912,132.72799999999998,215.905,284.79900000000004,415.898,421.213
90.1833,127.619,215.892,284.795,415.898,421.209
89.6593,127.43799999999999,215.858,284.795,415.897,421.17400000000004
89.0818,127.346,215.81799999999998,284.783,414.695,421.154
88.4885,126.615,215.81400000000002,284.119,413.639,421.14599999999996
88.0035,126.43299999999999,215.80900000000003,284.119,410.517,421.14599999999996
87.3775,126.333,215.778,281.226,409.62,421.14599999999996
86.87100000000001,126.169,215.708,280.64,409.55699999999996,421.14599999999996
86.6003,125.986,215.703,279.45,409.55300000000005,421.14599999999996
86.0687,125.921,215.703,278.842,409.126,421.14599999999996
85.7348,125.875,213.636,278.126,409.125,421.142
85.4171,125.79700000000001,213.602,277.282,409.05800000000005,421.142
85.0428,125.77799999999999,213.553,277.237,409.05800000000005,421.142
84.8293,125.38600000000001,211.82299999999998,272.26099999999997,407.856,419.944
84.523,125.274,210.78400000000002,271.96299999999997,404.764,419.36300000000006
84.3285,124.005,210.731,270.493,404.764,419.301
84.1661,123.97399999999999,210.58599999999998,269.858,402.115,419.293
83.9474,123.93299999999999,210.52900000000002,269.809,398.501,417.582
83.7461,123.90100000000001,210.266,269.48,398.19,417.449
81.0476,123.852,210.237,268.3,398.165,417.449
80.9802,123.846,210.204,268.23400000000004,395.504,417.38699999999994
80.8567,123.75200000000001,210.02599999999998,268.112,394.869,417.38699999999994
80.5763,123.726,210.02599999999998,267.84,392.88599999999997,417.38599999999997
79.8577,120.541,209.75799999999998,267.592,391.945,417.374
79.7433,120.23700000000001,209.75400000000002,267.41700000000003,391.589,417.341
79.6335,120.163,209.753,266.672,391.57599999999996,417.32300000000004
79.5697,119.723,209.65599999999998,266.548,391.559,417.288
79.49,119.65299999999999,209.65200000000002,266.548,390.765,417.256
79.4216,119.61,209.623,266.414,390.765,417.25199999999995
79.0343,119.586,209.615,266.36,387.87199999999996,417.251
78.9975,119.529,209.615,266.347,387.723,417.24199999999996
78.9038,119.4,209.615,266.347,387.68,417.23800000000006
78.8687,119.396,209.613,266.315,387.668,417.23800000000006
78.5792,119.38799999999999,209.612,266.314,387.668,417.23800000000006
78.5281,119.333,208.407,266.314,387.668,417.23800000000006
75.46600000000001,119.26299999999999,205.511,266.31,387.664,417.23800000000006
75.4208,119.016,204.697,266.31,387.664,417.23800000000006
75.4148,119.012,204.364,266.31,387.664,417.23800000000006
75.3827,119.008,204.267,266.31,387.664,417.226
75.3691,119.00299999999999,203.405,264.3,387.652,417.205
75.3186,118.80799999999999,203.399,262.485,387.652,417.205
75.2947,118.8,203.05900000000003,262.481,387.652,417.205
75.2852,118.72,203.051,262.481,387.652,417.194
75.2409,118.68,203.051,262.481,387.651,417.194
75.1554,118.671,202.924,262.481,387.651,417.194
75.1031,118.65,202.908,262.465,387.651,417.19300000000004
75.0818,115.824,202.903,262.465,387.64,417.19300000000004
75.0629,115.75399999999999,202.903,262.465,387.63599999999997,417.19300000000004
75.0311,115.74799999999999,202.903,262.43,387.63599999999997,414.48699999999997
74.9812,115.744,202.85,262.43,387.635,411.852
74.9728,115.744,202.84799999999998,259.845,387.635,411.786
74.9641,115.711,202.84799999999998,259.639,387.635,409.03
74.9428,115.645,202.832,259.426,387.6,409.03
74.9005,115.645,202.832,257.466,387.565,407.601
74.8994,115.641,202.832,257.243,387.565,405.87199999999996
74.8749,115.641,202.832,257.097,387.55400000000003,405.86800000000005
74.8647,115.639,202.832,257.097,387.542,405.86800000000005
74.8416,115.635,202.828,257.028,387.542,403.965
74.8253,115.635,202.828,257.027,387.538,403.965
74.8169,115.618,202.828,257.027,385.485,403.602
74.7864,115.601,202.828,257.027,382.464,403.602
74.7815,115.57799999999999,202.828,256.995,381.426,403.47
74.7607,115.57799999999999,202.828,256.983,379.99699999999996,403.466
74.722,115.574,202.828,254.227,379.98900000000003,403.39599999999996
74.722,115.56200000000001,202.828,254.227,378.619,403.168
74.721,115.53200000000001,202.828,251.87,378.615,402.588
74.7086,115.53200000000001,202.828,251.63,378.597,402.0
74.7086,115.53200000000001,202.828,251.59599999999998,378.597,399.43300000000005
74.7076,115.53200000000001,202.828,251.435,378.597,399.228
74.707,115.531,202.828,251.428,378.462,396.798
74.6941,115.514,202.828,251.426,378.45099999999996,396.781
74.6902,115.514,202.828,251.405,378.043,396.781
74.6868,115.49600000000001,202.828,251.395,377.973,396.781
74.6834,115.49600000000001,202.828,251.38299999999998,376.735,396.781
74.676,115.492,202.828,251.38299999999998,376.54,396.781
74.6374,115.454,202.828,251.378,375.42,396.746
74.6368,115.454,202.81599999999997,251.378,375.41900000000004,396.746
74.6284,115.454,202.81599999999997,251.378,374.978,396.746
74.6279,115.454,202.81599999999997,251.378,374.977,396.74199999999996
74.6234,115.42200000000001,202.81599999999997,251.32,374.87,396.74199999999996
74.62,115.387,202.81599999999997,251.32,372.11,396.74199999999996
74.6189,115.387,202.81599999999997,251.308,372.105,396.712
74.6116,115.387,202.81599999999997,251.28799999999998,369.74,396.67900000000003
74.6116,115.37100000000001,202.81599999999997,251.28400000000002,368.971,394.99699999999996
74.6021,115.367,202.812,251.283,368.895,393.923
74.5948,115.367,202.812,251.27900000000002,368.85699999999997,391.284
74.5942,115.366,202.812,251.24099999999999,368.85699999999997,391.152
74.5903,115.365,202.812,251.24099999999999,368.837,391.12800000000004
74.5864,115.365,202.77700000000002,251.24099999999999,368.767,391.12800000000004
74.5819,115.36200000000001,202.769,251.24099999999999,365.963,391.12699999999995
74.5133,115.36200000000001,202.769,251.239,365.76,391.12199999999996
74.5133,115.36200000000001,202.753,251.235,363.225,391.101
74.5128,115.35799999999999,202.753,251.235,363.10900000000004,385.421
73.4956,115.35799999999999,202.74900000000002,251.235,363.10900000000004,385.267
73.4056,115.346,202.74900000000002,251.235,363.10900000000004,385.205
73.3794,115.344,202.74900000000002,251.202,363.10400000000004,385.13199999999995
73.3755,115.34,202.74900000000002,251.202,363.046,385.131
73.3592,115.324,202.74900000000002,251.202,363.042,385.12699999999995
72.0766,115.32,202.74900000000002,251.19099999999997,363.042,385.12699999999995
72.0766,115.316,202.74900000000002,251.19099999999997,360.286,385.12699999999995
72.0766,115.29899999999999,202.74900000000002,251.19,360.27,385.12699999999995
72.0766,115.287,202.736,251.19,357.635,385.12699999999995
72.07600000000001,115.286,202.735,251.19,357.631,385.12699999999995
72.07600000000001,115.286,202.735,251.18599999999998,357.626,385.12300000000005
72.0721,115.286,202.696,251.15099999999998,357.626,385.12300000000005
72.0721,115.286,202.696,251.15099999999998,357.626,385.12300000000005
71.6273,115.25200000000001,202.692,251.15099999999998,357.626,384.459
71.6273,115.25200000000001,202.692,251.15099999999998,357.626,384.08099999999996
71.5926,115.25200000000001,202.692,251.139,357.626,382.713
71.5926,115.25200000000001,202.688,250.40400000000002,357.626,382.35900000000004
71.5926,115.25200000000001,202.66299999999998,250.399,357.61400000000003,382.30199999999996
71.5926,115.25200000000001,202.66299999999998,250.291,357.61400000000003,382.025
71.5886,115.24799999999999,202.66299999999998,250.183,357.61400000000003,381.973
71.5847,115.24799999999999,202.66299999999998,250.083,357.61400000000003,381.973
71.5847,115.236,202.66299999999998,249.865,357.61400000000003,381.973
71.5847,115.23200000000001,202.66299999999998,249.391,357.579,381.973
71.5265,115.226,202.66299999999998,249.357,357.579,381.973
71.5265,115.226,202.66299999999998,249.357,357.579,381.973
71.5225,115.22399999999999,202.66299999999998,249.357,356.915,379.376
71.5225,115.22399999999999,202.66299999999998,249.357,356.915,376.741
71.5063,115.22399999999999,202.66299999999998,249.357,356.907,376.73900000000003
71.5023,115.22399999999999,202.66299999999998,249.357,356.702,376.735
71.5023,115.22399999999999,202.66299999999998,249.328,356.278,376.715
71.5023,115.22399999999999,202.66299999999998,249.328,356.16,376.715
71.5023,115.22,202.66299999999998,249.328,356.14300000000003,376.715
71.4984,115.22,202.66299999999998,249.328,356.135,376.715
71.4984,115.22,202.66299999999998,249.3,356.135,376.715
71.4984,115.165,202.66299999999998,249.3,356.135,376.715
71.4984,115.14399999999999,202.66299999999998,249.3,356.135,376.715
71.4984,115.14399999999999,202.66299999999998,249.3,356.135,376.713
71.4984,115.132,202.66299999999998,249.3,356.11800000000005,376.713
71.4984,115.105,202.66299999999998,249.3,356.11800000000005,376.69199999999995
71.4821,115.105,202.66299999999998,249.3,356.11800000000005,376.68
71.4821,115.105,202.66299999999998,249.3,356.11800000000005,376.68
71.4821,115.105,202.66299999999998,249.3,356.11699999999996,376.68
71.4821,115.105,202.66299999999998,249.3,356.11699999999996,376.68
71.4821,115.105,202.66299999999998,249.3,356.11699999999996,376.68
71.3491,115.105,202.66299999999998,249.3,356.11699999999996,376.68
71.3491,115.104,202.66299999999998,249.3,356.11699999999996,376.68
71.3144,115.104,202.66299999999998,249.296,355.452,376.659
71.3144,115.104,202.66299999999998,249.296,352.68,376.659
71.3144,115.104,202.66299999999998,249.296,352.031,376.659
71.3144,115.09899999999999,202.66299999999998,249.296,351.92800000000005,376.659
71.3144,115.09899999999999,202.66299999999998,249.296,351.861,376.659
71.3144,115.09899999999999,202.66299999999998,249.296,351.724,376.648
71.3128,115.09899999999999,202.66299999999998,249.296,350.69800000000004,376.648
71.3128,115.09899999999999,202.66299999999998,249.296,349.624,376.648
71.3128,115.09899999999999,202.66299999999998,249.296,349.48900000000003,376.51599999999996
71.3128,115.09899999999999,202.66299999999998,249.296,349.286,376.515
71.3088,115.09899999999999,202.65099999999998,249.296,349.20099999999996,376.49800000000005
71.3088,115.098,202.65099999999998,249.296,349.2,376.49800000000005
71.3088,115.094,202.65099999999998,249.296,349.171,376.49800000000005
71.2763,115.094,202.65099999999998,249.296,349.171,376.49800000000005
71.2763,115.094,202.65099999999998,249.296,349.167,376.494
71.2763,115.057,202.65099999999998,249.296,349.167,376.494
71.2763,115.057,202.65099999999998,249.296,349.167,376.494
71.2763,115.057,202.65099999999998,249.296,349.167,376.459
71.2763,115.057,202.65099999999998,249.28,349.167,376.459
71.2763,115.057,202.65099999999998,249.268,349.167,376.459
71.2763,115.057,202.64700000000002,249.268,349.167,376.455
71.2763,115.057,202.64700000000002,249.268,349.167,376.455
71.2763,115.057,202.64700000000002,249.268,349.167,376.455
71.2763,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,249.268,349.167,376.455
71.2757,115.057,202.64700000000002,248.06599999999997,346.415,376.455
71.2757,112.165,202.64700000000002,248.06599999999997,343.846,376.455
71.2757,112.165,202.64700000000002,246.97,343.776,376.455
71.2757,112.161,202.64700000000002,246.608,343.776,376.455
71.2757,112.161,202.64700000000002,246.59099999999998,343.776,376.455
71.2757,112.161,202.64700000000002,246.455,343.776,376.455
71.2757,112.161,202.64700000000002,246.455,343.776,376.44300000000004
71.2757,112.14399999999999,202.64700000000002,246.438,343.776,376.44300000000004
71.2757,112.14399999999999,202.64700000000002,246.438,343.776,376.44300000000004
71.2757,112.07799999999999,202.64700000000002,246.438,343.776,376.44300000000004
71.2757,112.07799999999999,202.518,246.438,343.776,376.44300000000004
71.2757,112.045,202.514,246.438,343.776,376.44300000000004
71.2718,112.045,202.514,246.40400000000002,343.741,373.86199999999997
71.2718,112.045,202.514,246.40400000000002,343.741,373.858
71.2718,112.041,202.514,246.35,343.73699999999997,373.154
