rGA-whole,rGA-uniform,bGA-2pt,bGA-uniform
2464.2,2444.7,2511.88,2453.38
2230.05,2197.92,2200.67,2282.47
1973.61,1940.58,1979.1,2127.79
1741.99,1646.13,1768.62,1958.08
1533.33,1477.28,1605.13,1853.09
1331.85,1296.63,1347.19,1735.85
1201.91,1142.72,1189.95,1627.1
1085.79,1021.21,1081.91,1503.35
935.615,902.4060000000001,932.29,1389.18
796.6469999999999,807.331,808.794,1333.33
692.546,683.245,726.3660000000001,1251.74
631.383,605.933,646.183,1174.38
565.896,532.694,549.813,1128.65
483.434,466.414,500.824,1078.08
403.82099999999997,410.301,441.168,1022.92
365.495,364.161,403.496,951.416
327.561,333.37199999999996,360.415,899.927
300.325,305.742,311.986,869.102
266.363,276.781,282.907,821.002
247.08700000000002,258.487,258.228,787.541
218.928,240.108,235.25599999999997,749.982
201.23,221.61900000000003,219.817,707.952
180.796,209.19400000000002,198.329,681.37
171.63400000000001,188.783,185.581,656.005
153.464,173.386,170.607,635.866
136.947,165.451,161.668,617.099
126.79,154.767,153.37,593.9630000000001
118.22200000000001,143.651,143.721,570.779
115.117,134.326,139.031,555.985
107.54700000000001,129.518,132.334,542.195
103.38799999999999,120.853,129.00799999999998,533.604
99.365,111.25299999999999,125.845,523.165
92.8927,107.90799999999999,122.82799999999999,508.661
89.2066,104.33,121.12299999999999,498.098
84.9272,94.2265,118.152,487.16
80.5938,88.9806,116.682,482.663
75.5648,84.5889,115.471,474.733
70.4042,82.7489,113.993,467.75199999999995
66.032,78.7839,112.85700000000001,462.089
64.0295,74.9851,111.598,456.22
61.3863,69.6742,110.51799999999999,450.49199999999996
59.4921,66.2038,109.40899999999999,447.014
56.6523,61.7119,108.757,444.048
52.6919,59.4444,108.275,434.702
49.6889,58.7205,107.06299999999999,431.42800000000005
47.5149,54.7224,106.368,427.772
46.2386,52.973,106.041,424.523
43.5058,50.537,105.414,421.39599999999996
42.6685,49.5964,105.235,419.92
39.352,48.6943,103.729,417.723
38.7424,47.391000000000005,103.48200000000001,414.181
37.6442,43.6818,103.21799999999999,412.51199999999994
35.8869,42.8383,102.94,411.536
33.2839,41.6297,102.725,407.274
32.6262,39.6838,102.53299999999999,405.392
31.6995,38.2795,102.07,400.918
30.7743,37.5789,100.641,399.62199999999996
29.826,37.1535,100.477,396.783
27.9394,33.0128,100.42399999999999,395.605
27.3328,31.2683,100.34700000000001,394.77
26.7045,30.1017,100.314,391.949
25.7543,28.6088,100.22,391.529
25.3011,27.3474,100.17399999999999,391.27
24.2838,26.8434,100.1,391.00300000000004
23.2024,26.3294,100.04899999999999,390.694
22.7222,25.6245,100.01,390.332
21.8045,24.9244,99.9663,390.168
20.7419,24.2296,99.9366,389.86
20.4962,22.8653,99.8924,389.60900000000004
20.2024,22.2385,99.8506,386.67699999999996
19.1393,21.3058,99.8214,386.536
18.9507,20.7738,99.8051,381.842
17.9879,20.2698,99.7917,381.519
17.5825,19.9049,99.7804,381.37699999999995
17.34,19.2229,99.7436,380.38300000000004
17.1274,18.7155,99.7267,377.409
16.3901,18.4923,99.6915,376.536
16.3061,18.0594,99.6634,376.17800000000005
15.6167,17.8743,99.6399,376.1
15.4055,17.6189,99.6194,372.73
14.7849,17.3669,99.5694,370.81300000000005
14.0364,16.5681,99.5644,369.905
13.7857,16.1532,99.544,369.72900000000004
13.7072,15.9375,99.5008,369.284
13.5735,15.7522,99.4919,364.974
13.0316,15.4731,99.4919,363.05699999999996
12.7777,14.9914,99.4919,363.04
12.3335,14.53,99.4722,362.962
12.0125,14.3738,99.4525,362.702
11.517999999999999,13.9298,99.434,359.9
10.9108,13.6305,99.434,359.652
10.7625,13.494000000000002,99.4301,359.60699999999997
10.5885,13.0669,99.4301,356.455
10.3548,12.5633,99.4301,355.24800000000005
10.2005,11.9994,99.4296,355.24699999999996
9.72535,11.4587,99.4088,355.18300000000005
9.461789999999999,10.9889,99.4049,354.347
9.41129,10.8586,99.3931,352.69300000000004
9.40542,10.7205,99.3929,352.273
9.23729,10.718,99.3503,351.517
9.20326,10.4778,99.3497,350.55800000000005
8.884839999999999,10.3387,99.2953,349.876
8.6955,10.2448,99.2948,349.86
8.663089999999999,9.98097,99.2864,349.82099999999997
8.535919999999999,9.90573,99.2864,349.80699999999996
8.40788,9.53492,99.2864,349.806
8.20635,9.10985,99.2522,349.666
7.928089999999999,9.08745,99.2364,349.645
7.78331,8.94668,99.2364,349.626
7.54645,8.85322,99.2325,349.60900000000004
7.5042100000000005,8.775210000000001,99.2325,349.602
7.1428899999999995,8.62107,99.2319,348.728
7.083189999999999,8.41538,99.2319,348.663
6.9481399999999995,8.183689999999999,99.228,348.63599999999997
6.77354,8.033560000000001,99.228,348.63599999999997
6.674169999999999,7.938680000000001,99.228,348.599
6.57365,7.465510000000001,99.1893,348.595
6.304209999999999,7.28987,99.1893,348.56699999999995
6.2472,7.27681,99.1893,348.551
6.10332,7.23235,99.1893,348.542
5.803,7.09885,99.1888,348.51800000000003
5.63846,6.8947899999999995,99.1888,348.51800000000003
5.51788,6.794569999999999,99.1849,348.517
5.47725,6.63639,99.17299999999999,348.51300000000003
5.43045,6.420730000000001,99.17299999999999,348.51300000000003
5.34624,6.07459,99.1383,348.51300000000003
5.33235,5.6141,99.1383,348.51300000000003
5.24405,5.53417,99.1265,348.501
5.12746,5.458880000000001,99.1248,347.29900000000004
5.10591,5.05733,99.1125,347.29900000000004
5.07187,5.01861,99.1125,347.29900000000004
5.0362800000000005,5.0130300000000005,99.0665,347.27
4.96414,4.93949,99.0625,344.839
4.78455,4.80436,99.06200000000001,344.839
4.75427,4.7842,99.0575,344.80300000000005
4.65482,4.76837,99.0575,344.80199999999996
4.49524,4.71856,99.0536,341.99199999999996
4.350169999999999,4.61449,99.0529,341.631
4.01454,4.56267,99.0203,339.936
4.0122599999999995,4.46101,98.9856,339.936
3.9786599999999996,4.46101,98.9856,339.93300000000005
3.95,4.45266,98.9817,339.101
3.8267,4.4511,97.77600000000001,338.51300000000003
3.8143300000000004,4.26035,97.77600000000001,337.167
3.73749,3.95745,97.2221,337.13800000000003
3.6796800000000003,3.91338,97.2176,337.12
3.5296800000000004,3.90005,97.2176,337.05800000000005
3.5296800000000004,3.8723400000000003,97.2176,337.02099999999996
3.49665,3.8179800000000004,96.5738,336.501
3.4520699999999995,3.7662199999999997,96.5738,336.501
3.3183,3.7554800000000004,96.3638,336.435
3.30485,3.75242,96.3599,336.338
3.25383,3.7269300000000003,96.3599,336.338
3.1802900000000003,3.6998300000000004,96.3146,336.334
3.17605,3.68845,96.3146,336.33
3.11521,3.6609199999999995,96.3059,336.108
3.09511,3.57847,96.2355,336.031
3.06973,3.57585,96.2273,336.029
3.01898,3.50399,96.2273,336.029
2.99,3.50254,96.2273,336.028
2.96584,3.42515,96.1733,335.93
2.94372,3.39224,96.1733,334.535
2.91561,3.3613800000000005,96.1186,334.535
2.84688,3.31505,96.1186,334.535
2.84673,3.2542,96.1186,333.324
2.79835,3.13168,96.1186,333.324
2.7862299999999998,3.0624700000000002,96.1186,332.825
2.69247,3.04789,96.1186,332.69199999999995
2.64186,3.0003599999999997,96.1186,331.42800000000005
2.62311,2.94889,96.1184,331.186
2.62195,2.9372700000000003,96.1184,330.417
2.60676,2.93487,96.1145,330.324
2.57445,2.85635,96.1145,330.324
2.57445,2.83874,96.1026,327.73
2.5688,2.81853,96.0903,327.718
2.5688,2.80824,96.0556,327.704
2.52989,2.79601,96.0556,327.547
2.52902,2.6829,96.0438,325.092
2.51057,2.6804099999999997,96.0438,325.035
2.50783,2.6630700000000003,96.0438,325.035
2.50041,2.63313,96.0275,324.91
2.49368,2.52961,96.0275,324.714
2.48067,2.45713,96.0225,324.71299999999997
2.4696700000000003,2.45713,96.0225,324.71299999999997
2.45418,2.45713,96.0225,324.70099999999996
2.42798,2.4471700000000003,96.0185,324.693
2.32835,2.3984799999999997,96.0185,324.692
2.32835,2.3814,96.0185,324.684
2.3087400000000002,2.3626,96.0185,324.684
2.30629,2.2702400000000003,96.0185,324.684
2.28423,2.23588,96.0185,324.683
2.28062,2.22265,94.8166,324.671
2.25355,2.22265,94.8166,324.16
2.2357,2.1890400000000003,94.8166,324.156
2.21637,2.15853,94.8166,324.156
2.21254,2.12118,94.8087,324.147
2.2018299999999997,2.0805599999999997,93.5261,324.147
2.12878,2.07472,93.5143,324.111
2.1282200000000002,2.05813,93.5143,324.111
2.12296,2.02937,93.5143,324.079
2.11539,2.01668,93.5143,324.079
2.04508,2.0139299999999998,93.5143,323.861
2.03634,1.8905299999999998,93.5143,323.861
2.0268200000000003,1.85736,93.3447,323.849
2.0138700000000003,1.85736,93.2773,323.623
1.9717099999999999,1.80445,93.1067,322.418
1.95938,1.8027400000000002,93.1062,322.418
1.8942700000000001,1.79535,93.0727,322.418
1.7977599999999998,1.76512,93.0397,322.418
1.7866900000000001,1.75912,93.0397,322.414
1.7829599999999999,1.7554599999999998,93.0027,321.806
1.7588700000000002,1.7211900000000002,93.0027,321.805
1.74439,1.7207400000000002,93.0027,321.317
1.71731,1.70807,92.9987,321.317
1.6970900000000002,1.6977799999999998,92.9987,321.131
1.6970900000000002,1.6977799999999998,92.9987,321.131
1.6822700000000002,1.69756,92.9987,320.95099999999996
1.64926,1.6450099999999999,92.9987,320.95099999999996
1.63507,1.5998299999999999,92.9987,320.719
1.54498,1.5998299999999999,92.9987,320.719
1.5259,1.5847799999999999,92.9987,320.719
1.5167,1.53789,92.9987,320.654
1.5167,1.53147,92.9987,320.654
1.4538,1.5304,92.9522,320.654
1.42954,1.5109700000000001,92.9522,320.65
1.39009,1.50556,92.9522,320.613
1.36093,1.47496,92.8203,320.613
1.31145,1.4505700000000001,92.8158,320.613
1.29408,1.3874,92.8158,320.485
1.29408,1.37847,92.8158,320.485
1.26396,1.37847,92.8158,320.16700000000003
1.25816,1.37293,92.8158,320.16700000000003
1.25816,1.3665,92.8158,319.374
1.2314100000000001,1.3665,92.8108,319.374
1.2304,1.35705,92.8108,318.783
1.23019,1.35638,92.8108,318.77099999999996
1.19856,1.3559999999999999,92.7945,318.283
1.1633,1.33766,89.9026,318.238
1.15953,1.2990000000000002,89.9026,317.91700000000003
1.1574200000000001,1.2777,89.9026,317.91700000000003
1.1574200000000001,1.26204,89.9026,317.91700000000003
1.1558,1.25241,89.9026,317.851
1.1558,1.2519799999999999,89.8378,317.779
1.1558,1.21502,89.8361,317.779
1.1539,1.20991,89.8361,317.779
1.14547,1.13507,89.8361,317.725
1.14547,1.1250799999999999,89.803,317.704
1.08441,1.1250799999999999,89.803,317.704
1.07892,1.09843,89.803,317.704
1.0728799999999998,1.08595,89.803,317.704
1.0717700000000001,1.08569,89.803,317.704
1.0717700000000001,1.06877,89.803,317.688
1.04588,1.06877,89.7991,317.688
1.0394299999999999,1.00442,89.7991,317.688
1.03692,1.0033100000000001,89.7991,317.688
1.01328,1.0033100000000001,89.7991,317.688
1.01328,1.00296,89.7991,317.688
0.973551,0.999742,89.7991,317.688
0.958759,0.955095,89.7991,317.688
0.931125,0.950053,89.7991,317.676
0.9272450000000001,0.949953,89.7991,317.676
0.9272450000000001,0.9447469999999999,89.7991,317.676
0.9272450000000001,0.902401,89.7991,317.676
0.924646,0.8951459999999999,89.7991,317.676
0.912334,0.89435,87.4808,317.676
0.9086719999999999,0.894173,87.4808,317.676
0.90735,0.892826,87.4808,317.676
0.9043540000000001,0.885151,87.4808,317.676
0.904116,0.882389,87.4808,317.676
0.904116,0.872873,87.4808,317.676
0.9004719999999999,0.872873,87.4685,317.676
0.9004719999999999,0.869174,87.4645,317.676
0.885208,0.869174,87.4645,315.15
0.885208,0.868432,87.0883,312.509
0.885208,0.8657889999999999,87.072,312.509
0.8836450000000001,0.8556870000000001,86.8698,311.992
0.8836450000000001,0.8548600000000001,86.083,311.531
0.8836450000000001,0.8481790000000001,86.083,311.272
0.87175,0.829417,86.083,309.322
0.8712559999999999,0.821998,86.083,307.259
0.860564,0.821998,86.083,307.259
0.857844,0.813615,86.083,307.217
0.857844,0.8134,85.9377,307.217
0.8349030000000001,0.812529,85.9377,307.16200000000003
0.8349030000000001,0.796086,85.9377,307.16200000000003
0.820391,0.72121,85.8716,307.16200000000003
0.813017,0.714118,85.8716,304.447
0.813017,0.714118,85.8716,304.447
0.800633,0.70336,85.835,304.405
0.775717,0.703145,85.835,304.405
0.750365,0.702403,85.835,302.057
0.750365,0.702403,85.8339,302.053
0.7479060000000001,0.702403,85.8176,301.92
0.743338,0.6839729999999999,85.8176,301.635
0.723395,0.6839729999999999,85.8176,301.635
0.722932,0.6839729999999999,85.8176,301.635
0.722932,0.6839729999999999,85.8176,301.503
0.71316,0.67198,85.8176,301.503
0.7097859999999999,0.6617569999999999,85.8176,301.503
0.7097859999999999,0.656855,85.8053,301.502
0.7051970000000001,0.655066,85.8053,301.502
0.703034,0.648338,85.8053,301.502
0.7025680000000001,0.635386,85.8053,301.502
0.7025680000000001,0.632321,85.8013,301.502
0.694379,0.622419,85.8013,301.485
0.692666,0.622419,85.8013,301.485
0.692666,0.622419,85.8013,301.485
0.69052,0.622419,85.8013,301.485
0.68719,0.622419,85.8013,301.485
0.68719,0.6218100000000001,85.8013,301.485
0.684616,0.612579,85.8013,301.485
0.664366,0.612324,85.8013,301.485
0.661515,0.612267,85.8013,301.485
0.661515,0.612267,85.8013,301.485
0.6603899999999999,0.612267,85.8013,301.481
0.6603899999999999,0.612267,85.8013,301.481
0.660361,0.611484,85.8013,301.481
0.660361,0.610517,85.8013,301.481
0.65187,0.608405,85.8013,301.481
0.645983,0.608405,85.8013,301.481
0.644486,0.608405,85.8013,301.481
0.6429729999999999,0.608405,85.8013,301.481
0.6359670000000001,0.608405,85.8013,301.481
0.6359670000000001,0.6081529999999999,85.8013,301.481
0.635655,0.6080399999999999,85.8013,301.481
0.63422,0.6069359999999999,85.8013,301.481
0.6340279999999999,0.603532,85.8013,301.481
0.628898,0.602433,85.8013,301.481
0.618041,0.5922729999999999,85.8013,301.481
0.609797,0.580539,85.8013,301.481
0.60868,0.580225,85.8013,301.481
0.608554,0.580225,85.8013,301.481
0.605747,0.576441,85.8013,301.481
0.5965600000000001,0.570757,85.8013,301.481
0.593288,0.568331,85.8013,301.481
0.5910569999999999,0.568329,85.8013,301.481
0.588673,0.558145,85.8013,301.481
0.588673,0.552775,85.8013,301.481
0.587742,0.552535,85.8013,301.481
0.58638,0.55224,85.8013,301.481
0.58638,0.55224,85.8013,301.481
0.582393,0.551562,85.8013,301.481
0.5513640000000001,0.541233,85.8013,301.481
0.540431,0.541233,85.8013,301.481
0.538025,0.538451,85.8013,301.481
0.538025,0.529684,85.8013,301.481
0.52479,0.5257189999999999,85.8013,301.481
0.52479,0.525306,85.8013,301.481
0.523832,0.525306,85.8013,301.48
0.510037,0.51752,85.8013,301.48
0.510037,0.517185,85.8013,301.48
0.503594,0.514397,85.8013,301.48
0.503225,0.514397,85.8013,301.48
0.503225,0.511022,85.8013,301.48
0.502743,0.511022,85.8013,301.447
0.500575,0.511022,85.8013,301.447
0.500575,0.507767,85.8013,301.447
0.498302,0.507717,85.8013,301.447
0.491213,0.507717,85.8013,301.447
0.49098,0.488084,85.8013,301.431
0.49098,0.486461,85.8013,301.431
0.49098,0.486461,85.8013,301.431
0.49098,0.48446000000000006,85.8013,301.43
0.49073,0.480717,85.8013,301.43
0.49073,0.480717,85.8013,301.43
0.47718,0.480717,85.8013,301.43
0.47718,0.47117,85.8013,301.43
0.47643800000000003,0.469471,85.8013,301.43
0.47448,0.464715,85.8013,298.67400000000004
0.47448,0.464524,85.8013,298.67400000000004
0.463071,0.464524,85.8013,298.67400000000004
0.462109,0.44004099999999996,85.8013,296.313
0.462109,0.43589300000000003,85.8013,296.309
0.45983599999999997,0.43347600000000003,85.8013,296.309
0.459586,0.43317700000000003,85.8013,296.035
0.459586,0.428817,85.8013,296.035
0.45928800000000003,0.428817,85.8013,296.035
0.45777299999999993,0.42673599999999995,85.8013,295.975
0.45776000000000006,0.42673599999999995,85.8013,295.975
0.45776000000000006,0.42673599999999995,85.8013,295.904
0.45775299999999997,0.42673599999999995,85.8013,295.904
0.45775299999999997,0.425469,85.8013,295.904
0.45775299999999997,0.425469,85.8013,295.904
0.443008,0.41885500000000003,85.8013,295.904
0.438754,0.41885500000000003,85.8013,295.904
0.43818100000000004,0.41885500000000003,85.8013,295.904
0.43772700000000003,0.41885500000000003,85.8013,295.904
0.428008,0.417071,85.8013,295.904
0.42717299999999997,0.417071,85.8013,295.904
0.42717299999999997,0.417071,85.8013,295.904
0.42717299999999997,0.41668999999999995,85.8013,295.904
0.42717299999999997,0.41668999999999995,85.8013,295.904
0.42717299999999997,0.414654,85.8013,295.904
0.42717299999999997,0.404292,85.8013,295.89099999999996
0.42663599999999996,0.40236700000000003,85.8013,295.89099999999996
0.425228,0.40236700000000003,85.8013,295.88599999999997
0.423126,0.40236700000000003,85.8013,295.88599999999997
0.42269399999999996,0.40236700000000003,85.8013,295.88599999999997
0.42269399999999996,0.39955100000000005,85.8013,295.88599999999997
0.416083,0.399372,85.8013,295.88599999999997
0.404198,0.399372,85.8013,295.88599999999997
0.403696,0.399372,85.8013,295.88599999999997
0.403696,0.399372,85.8013,295.88599999999997
0.403696,0.399372,85.8013,295.88599999999997
0.403696,0.398767,85.8013,295.88599999999997
0.40020100000000003,0.398767,85.8013,295.88599999999997
0.40020100000000003,0.398767,85.8013,295.88599999999997
0.40020100000000003,0.397386,85.8013,295.88599999999997
0.40020100000000003,0.389855,85.8013,295.21
0.40020100000000003,0.389855,85.8013,295.21
0.399459,0.38412399999999997,85.8013,295.21
0.399067,0.383259,85.8013,295.21
0.399067,0.381231,85.7997,295.21
0.394364,0.381231,85.7997,295.21
0.392905,0.381231,85.7997,295.151
0.390852,0.380972,85.7997,293.585
0.389669,0.37955,85.7997,293.585
0.364533,0.37904699999999997,85.7997,293.585
0.363319,0.37904699999999997,85.7997,293.585
0.363319,0.378349,85.779,292.387
0.35990900000000003,0.378198,85.779,292.387
0.359198,0.3751,85.7711,292.34
0.359198,0.374784,85.7711,291.889
0.35673499999999997,0.374784,85.7711,291.889
0.35430100000000003,0.374784,85.7671,290.949
0.353168,0.37293000000000004,85.7553,290.47
0.352671,0.372366,85.7553,290.254
0.352671,0.357606,85.7553,290.23900000000003
0.351425,0.357106,85.7553,290.107
0.35028400000000004,0.353946,85.7553,289.98400000000004
0.348672,0.353946,85.7548,289.632
0.343025,0.34727600000000003,85.7541,289.632
0.340344,0.344405,85.7541,289.191
0.33681500000000003,0.34331100000000003,85.7541,289.19
0.33681500000000003,0.34331100000000003,85.7541,289.13599999999997
0.336365,0.339861,85.7541,289.019
0.336292,0.339861,85.7501,289.019
0.336292,0.339861,85.7501,289.018
0.336292,0.33524,85.7501,289.018
0.332321,0.334032,85.7501,289.018
0.332235,0.33074000000000003,85.7501,288.988
0.33207,0.33057,85.7501,288.988
0.33205100000000004,0.32953899999999997,85.7501,288.988
0.33205100000000004,0.324946,85.7501,288.988
0.331623,0.32377100000000003,85.7501,288.98400000000004
0.330027,0.323203,85.7501,288.98400000000004
0.329941,0.31896199999999997,85.7501,288.98
0.328399,0.31896199999999997,85.7501,288.98
0.328399,0.318653,85.7501,288.98
0.324397,0.318653,85.7501,288.98
0.324397,0.318653,85.7501,288.98
0.324378,0.318653,85.7501,288.98
0.32435,0.31451799999999996,85.7462,288.98
0.32435,0.31451799999999996,85.7462,288.98
0.31849299999999997,0.31451799999999996,85.7462,288.98
0.31797,0.31451799999999996,85.7462,288.98
0.31797,0.312687,85.7462,288.98
0.315889,0.311192,85.7462,288.98
0.315889,0.310176,85.7462,288.98
0.315889,0.30645700000000003,85.7462,288.98
0.315889,0.30645700000000003,85.7462,288.98
0.315889,0.30645700000000003,85.7462,288.98
0.315889,0.30645700000000003,85.7462,288.98
0.315889,0.304309,85.7462,288.98
0.315889,0.300491,85.7462,288.98
0.313731,0.293454,85.7462,288.98
0.313731,0.291562,85.7462,288.98
0.313731,0.291562,85.7462,288.98
0.313731,0.291562,85.7462,288.98
0.313731,0.291323,85.7462,288.98
0.31282600000000005,0.291323,85.7462,288.98
0.31282600000000005,0.289963,85.7462,288.98
0.31244099999999997,0.270384,85.7462,288.98
0.31244099999999997,0.270384,85.7462,288.98
0.31244099999999997,0.270384,85.7462,288.945
0.31244099999999997,0.270063,85.7462,288.945
0.31244099999999997,0.270063,85.7462,288.945
0.31244099999999997,0.270063,85.7462,288.945
0.303586,0.26993,85.7462,288.945
0.303586,0.268129,85.7462,288.945
0.303586,0.261239,85.7344,288.945
0.303573,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.302363,0.261239,85.7344,288.945
0.30078699999999997,0.261239,85.7344,288.945
0.300732,0.261239,85.7338,288.945
0.300732,0.261239,85.7338,288.945
0.29487399999999997,0.260792,85.7338,286.242
0.29483000000000004,0.260792,85.7338,286.242
0.29483000000000004,0.25943499999999997,85.7338,286.242
0.289896,0.25943499999999997,85.7338,286.242
0.289896,0.25911,85.7338,286.242
0.278314,0.25911,85.7338,286.184
0.27581700000000003,0.258558,85.7338,285.841
0.275648,0.258558,85.7299,285.841
0.275648,0.258558,85.7299,283.575
0.274276,0.258558,85.7299,283.575
0.271867,0.258558,83.4116,283.575
 , ,,
